band,setting_freq,setting_gain,setting_q,freq_hz,db
hpf,50,0,0,14122.73,-0.0001
hpf,50,0,0,14621.43,-0.0001
hpf,50,0,0,15137.75,-0.0001
hpf,50,0,0,15672.30,-0.0001
hpf,50,0,0,16225.72,-0.0001
hpf,50,0,0,16798.69,-0.0001
hpf,50,0,0,17391.89,-0.0001
hpf,50,0,0,18006.04,-0.0001
hpf,50,0,0,18641.88,-0.0001
hpf,50,0,0,19300.16,-0.0001
hpf,50,0,0,19981.70,-0.0001
hpf,50,0,0,20687.30,-0.0001
hpf,50,0,0,21417.81,-0.0000
hpf,50,0,0,22174.13,-0.0000
hpf,50,0,0,22957.15,-0.0000
hpf,50,0,0,23767.82,-0.0000
hpf,50,0,0,24607.11,-0.0000
hpf,50,0,0,25476.05,-0.0000
hpf,50,0,0,26375.67,-0.0000
hpf,50,0,0,27307.05,-0.0000
hpf,50,0,0,28271.33,-0.0000
hpf,50,0,0,29269.65,-0.0000
hpf,50,0,0,30303.23,-0.0000
hpf,50,0,0,31373.31,-0.0000
hpf,50,0,0,32481.17,-0.0000
hpf,50,0,0,33628.16,-0.0000
hpf,50,0,0,34815.65,-0.0000
hpf,50,0,0,36045.07,-0.0000
hpf,50,0,0,37317.90,-0.0000
hpf,50,0,0,38635.68,-0.0000
hpf,50,0,0,40000.00,-0.0000
hpf,80,0,0,10.00,-21.1051
hpf,80,0,0,10.35,-20.8061
hpf,80,0,0,10.72,-20.5073
hpf,80,0,0,11.10,-20.2086
hpf,80,0,0,11.49,-19.9102
hpf,80,0,0,11.89,-19.6119
hpf,80,0,0,12.31,-19.3139
hpf,80,0,0,12.75,-19.0161
hpf,80,0,0,13.20,-18.7186
hpf,80,0,0,13.67,-18.4214
hpf,80,0,0,14.15,-18.1244
hpf,80,0,0,14.65,-17.8278
hpf,80,0,0,15.17,-17.5315
hpf,80,0,0,15.70,-17.2356
hpf,80,0,0,16.26,-16.9401
hpf,80,0,0,16.83,-16.6450
hpf,80,0,0,17.42,-16.3503
hpf,80,0,0,18.04,-16.0561
hpf,80,0,0,18.68,-15.7624
hpf,80,0,0,19.34,-15.4692
hpf,80,0,0,20.02,-15.1767
hpf,80,0,0,20.73,-14.8847
hpf,80,0,0,21.46,-14.5934
hpf,80,0,0,22.21,-14.3028
hpf,80,0,0,23.00,-14.0129
hpf,80,0,0,23.81,-13.7239
hpf,80,0,0,24.65,-13.4357
hpf,80,0,0,25.52,-13.1484
hpf,80,0,0,26.42,-12.8620
hpf,80,0,0,27.36,-12.5767
hpf,80,0,0,28.32,-12.2925
hpf,80,0,0,29.32,-12.0095
hpf,80,0,0,30.36,-11.7276
hpf,80,0,0,31.43,-11.4471
hpf,80,0,0,32.54,-11.1680
hpf,80,0,0,33.69,-10.8904
hpf,80,0,0,34.88,-10.6143
hpf,80,0,0,36.11,-10.3399
hpf,80,0,0,37.39,-10.0672
hpf,80,0,0,38.71,-9.7964
hpf,80,0,0,40.07,-9.5276
hpf,80,0,0,41.49,-9.2608
hpf,80,0,0,42.95,-8.9962
hpf,80,0,0,44.47,-8.7340
hpf,80,0,0,46.04,-8.4741
hpf,80,0,0,47.67,-8.2168
hpf,80,0,0,49.35,-7.9622
hpf,80,0,0,51.09,-7.7104
hpf,80,0,0,52.90,-7.4615
hpf,80,0,0,54.76,-7.2157
hpf,80,0,0,56.70,-6.9732
hpf,80,0,0,58.70,-6.7340
hpf,80,0,0,60.77,-6.4982
hpf,80,0,0,62.92,-6.2662
hpf,80,0,0,65.14,-6.0379
hpf,80,0,0,67.44,-5.8135
hpf,80,0,0,69.82,-5.5931
hpf,80,0,0,72.29,-5.3770
hpf,80,0,0,74.84,-5.1651
hpf,80,0,0,77.48,-4.9577
hpf,80,0,0,80.22,-4.7548
hpf,80,0,0,83.05,-4.5566
hpf,80,0,0,85.99,-4.3631
hpf,80,0,0,89.02,-4.1745
hpf,80,0,0,92.17,-3.9908
hpf,80,0,0,95.42,-3.8122
hpf,80,0,0,98.79,-3.6386
hpf,80,0,0,102.28,-3.4702
hpf,80,0,0,105.89,-3.3069
hpf,80,0,0,109.63,-3.1488
hpf,80,0,0,113.50,-2.9960
hpf,80,0,0,117.51,-2.8484
hpf,80,0,0,121.66,-2.7060
hpf,80,0,0,125.95,-2.5688
hpf,80,0,0,130.40,-2.4368
hpf,80,0,0,135.01,-2.3100
hpf,80,0,0,139.77,-2.1881
hpf,80,0,0,144.71,-2.0713
